;;1;2;3;4;5;6;7;8;9;10;
2007-2008;15 - 44;85;75;67;62;58;x;x;x;x;x;
2007-2008;45 - 54;74;49;39;35;33;x;x;x;x;x;
2007-2008;55 - 64;56;25;17;15;13;x;x;x;x;x;
2007-2008;65 - 74;37;17;11;8;8;x;x;x;x;x;
2007-2008;75 und älter;19;11;8;7;6;x;x;x;x;x;
2007-2008;Rohe Rate - 15 und Älter;53;34;27;24;22;x;x;x;x;x;
2007-2008;Altersstandardisiert - 15 und Älter;57;38;31;28;26;x;x;x;x;x;
2009-2010;15 - 44;91;80;72;66;62;x;x;x;x;x;
2009-2010;45 - 54;67;41;36;30;27;x;x;x;x;x;
2009-2010;55 - 64;47;24;16;12;10;x;x;x;x;x;
2009-2010;65 - 74;39;14;10;9;8;x;x;x;x;x;
2009-2010;75 und älter;19;8;6;4;4;x;x;x;x;x;
2009-2010;Rohe Rate - 15 und Älter;53;33;27;23;21;x;x;x;x;x;
2009-2010;Altersstandardisiert - 15 und Älter;57;38;32;27;25;x;x;x;x;x;
2011-2012;15 - 44;92;78;70;65;62;59;55;51;49;46;
2011-2012;45 - 54;72;46;34;28;25;24;22;19;18;18;
2011-2012;55 - 64;61;31;23;20;18;16;16;15;13;13;
2011-2012;65 - 74;41;19;13;9;8;8;6;6;5;4;
2011-2012;75 und älter;17;6;5;5;5;4;3;3;3;3;
2011-2012;Rohe Rate - 15 und Älter;55;35;28;24;23;21;20;18;17;16;
2011-2012;Altersstandardisiert - 15 und Älter;59;39;32;29;27;25;23;21;20;19;
2013-2014;15 - 44;90;77;68;61;57;55;52;50;45;43;
2013-2014;45 - 54;69;47;39;35;32;29;28;26;25;24;
2013-2014;55 - 64;56;30;21;17;14;13;12;10;10;10;
2013-2014;65 - 74;40;19;12;10;9;8;8;7;7;6;
2013-2014;75 und älter;19;10;6;5;4;4;4;4;4;4;
2013-2014;Rohe Rate - 15 und Älter;52;33;26;23;20;19;18;17;16;15;
2013-2014;Altersstandardisiert - 15 und Älter;56;38;31;27;25;23;22;21;20;18;
2015-2016;15 - 44;90;77;69;64;62;59;56;54;50;47;
2015-2016;45 - 54;74;50;37;32;26;23;20;20;19;18;
2015-2016;55 - 64;57;30;18;15;12;12;10;9;9;8;
2015-2016;65 - 74;43;20;11;9;8;7;6;5;5;4;
2015-2016;75 und älter;28;12;7;5;4;4;4;4;4;4;
2015-2016;Rohe Rate - 15 und Älter;56;35;25;22;20;19;17;16;15;14;
2015-2016;Altersstandardisiert - 15 und Älter;61;41;31;28;25;24;22;21;20;19;
2017-2018;15 - 44;94;83;74;68;66;62;58;55;51;49;
2017-2018;45 - 54;74;40;32;28;25;21;19;19;18;17;
2017-2018;55 - 64;63;32;21;18;16;14;13;11;11;10;
2017-2018;65 - 74;42;17;12;9;9;8;7;6;6;6;
2017-2018;75 und älter;23;10;6;6;5;5;5;5;5;5;
2017-2018;Rohe Rate - 15 und Älter;55;32;25;22;20;18;17;16;15;14;
2017-2018;Altersstandardisiert - 15 und Älter;61;39;32;28;26;24;22;21;20;19;
2019-2020;15 - 44;88;73;67;64;60;58;57;53;52;49;
2019-2020;45 - 54;71;45;32;29;27;24;23;22;20;19;
2019-2020;55 - 64;63;35;27;22;20;18;17;15;14;13;
2019-2020;65 - 74;41;21;13;9;8;8;6;6;5;4;
2019-2020;75 und älter;22;11;7;6;5;4;4;3;3;3;
2019-2020;Rohe Rate - 15 und Älter;53;33;26;23;21;19;19;17;16;15;
2019-2020;Altersstandardisiert - 15 und Älter;60;40;33;30;28;26;25;23;22;21;
2021-2023;15 - 44;86;72;66;64;59;57;55;52;50;49;
2021-2023;45 - 54;73;47;38;32;29;27;26;25;23;20;
2021-2023;55 - 64;55;30;21;17;15;13;13;11;11;10;
2021-2023;65 - 74;42;18;11;7;6;6;5;5;4;4;
2021-2023;75 und älter;21;7;4;3;2;2;2;1;1;1;
2021-2023;Rohe Rate - 15 und Älter;51;30;24;20;18;17;16;15;14;13;
2021-2023;Altersstandardisiert - 15 und Älter;58;38;31;28;25;24;23;22;21;20;
