;;1;2;3;4;5;6;7;8;9;10;
2007-2008;15 - 44;85;75;67;63;58;x;x;x;x;x;
2007-2008;45 - 54;74;50;39;36;34;x;x;x;x;x;
2007-2008;55 - 64;56;25;18;16;13;x;x;x;x;x;
2007-2008;65 - 74;38;17;12;9;9;x;x;x;x;x;
2007-2008;75 und älter;20;12;10;9;8;x;x;x;x;x;
2007-2008;Rohe Rate - 15 und Älter;55;35;28;25;24;x;x;x;x;x;
2007-2008;Altersstandardisiert - 15 und Älter;58;39;32;29;27;x;x;x;x;x;
2009-2010;15 - 44;92;80;72;66;62;x;x;x;x;x;
2009-2010;45 - 54;67;42;36;31;28;x;x;x;x;x;
2009-2010;55 - 64;48;25;16;13;10;x;x;x;x;x;
2009-2010;65 - 74;40;15;11;10;9;x;x;x;x;x;
2009-2010;75 und älter;20;9;7;5;6;x;x;x;x;x;
2009-2010;Rohe Rate - 15 und Älter;54;34;28;24;22;x;x;x;x;x;
2009-2010;Altersstandardisiert - 15 und Älter;58;39;33;29;27;x;x;x;x;x;
2011-2012;15 - 44;92;79;70;66;63;60;55;51;49;46;
2011-2012;45 - 54;72;46;34;28;26;25;23;20;19;19;
2011-2012;55 - 64;62;32;24;21;19;18;17;17;15;15;
2011-2012;65 - 74;42;20;14;10;10;9;8;7;7;6;
2011-2012;75 und älter;18;7;6;6;7;6;6;6;8;9;
2011-2012;Rohe Rate - 15 und Älter;56;36;29;26;24;23;21;20;19;18;
2011-2012;Altersstandardisiert - 15 und Älter;60;40;34;30;28;27;25;23;22;21;
2013-2014;15 - 44;90;77;69;62;57;55;53;51;46;44;
2013-2014;45 - 54;70;48;39;35;33;30;29;27;26;25;
2013-2014;55 - 64;57;30;22;18;15;14;13;11;12;11;
2013-2014;65 - 74;41;20;13;11;10;10;10;9;9;8;
2013-2014;75 und älter;20;11;8;6;5;6;7;8;9;10;
2013-2014;Rohe Rate - 15 und Älter;53;34;27;24;22;21;20;19;18;17;
2013-2014;Altersstandardisiert - 15 und Älter;57;39;32;28;26;25;24;23;21;20;
2015-2016;15 - 44;90;77;69;64;62;59;56;55;50;48;
2015-2016;45 - 54;75;51;37;32;27;24;21;21;20;19;
2015-2016;55 - 64;58;30;19;16;13;12;11;10;10;10;
2015-2016;65 - 74;44;21;11;10;9;9;8;7;7;6;
2015-2016;75 und älter;30;13;8;7;6;7;8;9;10;12;
2015-2016;Rohe Rate - 15 und Älter;58;36;26;23;21;20;19;18;17;16;
2015-2016;Altersstandardisiert - 15 und Älter;63;42;32;29;27;25;24;23;21;20;
2017-2018;15 - 44;94;83;74;69;66;62;59;56;52;49;
2017-2018;45 - 54;75;40;33;29;25;21;20;20;19;18;
2017-2018;55 - 64;64;33;22;18;16;15;14;12;12;11;
2017-2018;65 - 74;43;18;13;10;10;9;8;8;8;8;
2017-2018;75 und älter;25;11;7;7;7;7;8;10;11;13;
2017-2018;Rohe Rate - 15 und Älter;56;33;26;23;22;20;18;18;17;16;
2017-2018;Altersstandardisiert - 15 und Älter;62;40;33;30;28;26;24;23;22;21;
2019-2020;15 - 44;88;74;68;64;60;58;57;53;53;50;
2019-2020;45 - 54;72;45;32;29;28;25;24;23;21;20;
2019-2020;55 - 64;63;36;27;23;21;19;19;17;16;14;
2019-2020;65 - 74;42;21;14;10;10;9;7;8;7;5;
2019-2020;75 und älter;24;12;8;7;8;6;6;6;8;9;
2019-2020;Rohe Rate - 15 und Älter;54;34;27;24;23;21;20;19;18;17;
2019-2020;Altersstandardisiert - 15 und Älter;61;41;34;31;29;27;26;25;24;23;
2021-2023;15 - 44;86;72;66;64;59;57;55;52;51;50;
2021-2023;45 - 54;73;48;39;32;30;27;27;26;24;22;
2021-2023;55 - 64;55;30;21;17;15;14;14;13;13;11;
2021-2023;65 - 74;43;18;12;8;7;7;6;6;6;6;
2021-2023;75 und älter;22;8;5;4;3;3;3;3;3;3;
2021-2023;Rohe Rate - 15 und Älter;52;31;25;21;19;18;18;17;16;15;
2021-2023;Altersstandardisiert - 15 und Älter;59;39;32;29;27;25;24;23;22;21;
