;;1;2;3;4;5;6;7;8;9;10;
2007-2008;15 - 44;91;79;70;66;58;x;x;x;x;x;
2007-2008;45 - 54;81;55;45;39;38;x;x;x;x;x;
2007-2008;55 - 64;59;39;24;22;21;x;x;x;x;x;
2007-2008;65 - 74;40;20;17;15;15;x;x;x;x;x;
2007-2008;75 und älter;15;9;4;4;3;x;x;x;x;x;
2007-2008;Rohe Rate - 15 und Älter;54;37;29;27;25;x;x;x;x;x;
2007-2008;Altersstandardisiert - 15 und Älter;62;45;36;33;30;x;x;x;x;x;
2009-2010;15 - 44;91;84;74;66;61;x;x;x;x;x;
2009-2010;45 - 54;80;59;49;47;42;x;x;x;x;x;
2009-2010;55 - 64;66;34;24;19;16;x;x;x;x;x;
2009-2010;65 - 74;41;22;18;15;14;x;x;x;x;x;
2009-2010;75 und älter;17;9;6;6;5;x;x;x;x;x;
2009-2010;Rohe Rate - 15 und Älter;55;38;31;27;25;x;x;x;x;x;
2009-2010;Altersstandardisiert - 15 und Älter;63;46;38;34;31;x;x;x;x;x;
2011-2012;15 - 44;86;75;69;63;58;56;52;51;45;43;
2011-2012;45 - 54;74;52;43;39;35;34;33;31;30;30;
2011-2012;55 - 64;58;34;26;22;18;16;16;14;13;13;
2011-2012;65 - 74;37;19;15;12;10;10;8;8;8;8;
2011-2012;75 und älter;17;10;7;7;6;6;5;5;4;4;
2011-2012;Rohe Rate - 15 und Älter;51;35;29;26;23;22;21;20;18;18;
2011-2012;Altersstandardisiert - 15 und Älter;59;42;36;32;29;28;26;25;23;22;
2013-2014;15 - 44;91;82;74;69;65;61;60;59;58;56;
2013-2014;45 - 54;76;57;45;39;37;33;31;30;28;27;
2013-2014;55 - 64;60;34;25;21;18;17;16;14;12;12;
2013-2014;65 - 74;39;21;14;12;10;8;8;8;7;7;
2013-2014;75 und älter;22;10;6;5;4;3;3;3;2;1;
2013-2014;Rohe Rate - 15 und Älter;53;36;29;25;23;21;20;19;18;18;
2013-2014;Altersstandardisiert - 15 und Älter;61;44;36;32;30;28;27;26;24;23;
2015-2016;15 - 44;92;87;83;79;75;73;70;68;66;63;
2015-2016;45 - 54;80;57;50;45;42;41;39;38;35;34;
2015-2016;55 - 64;61;34;27;24;21;20;20;18;16;16;
2015-2016;65 - 74;43;23;17;13;10;10;10;9;9;9;
2015-2016;75 und älter;25;11;7;5;4;4;4;2;2;2;
2015-2016;Rohe Rate - 15 und Älter;54;36;31;28;25;25;24;22;21;21;
2015-2016;Altersstandardisiert - 15 und Älter;62;45;40;36;34;33;31;30;29;28;
2017-2018;15 - 44;94;84;75;70;67;64;60;57;54;53;
2017-2018;45 - 54;71;49;42;40;36;34;31;30;28;26;
2017-2018;55 - 64;59;37;24;23;21;18;16;15;13;13;
2017-2018;65 - 74;47;28;20;17;15;14;14;12;10;10;
2017-2018;75 und älter;18;9;7;5;5;4;4;4;2;2;
2017-2018;Rohe Rate - 15 und Älter;52;36;28;26;24;22;21;20;18;17;
2017-2018;Altersstandardisiert - 15 und Älter;61;45;37;34;31;30;27;26;24;24;
2019-2020;15 - 44;90;84;78;77;74;71;71;69;65;63;
2019-2020;45 - 54;74;48;37;33;32;30;29;27;27;26;
2019-2020;55 - 64;63;35;26;22;20;18;17;15;15;15;
2019-2020;65 - 74;42;23;16;13;11;10;9;9;8;7;
2019-2020;75 und älter;19;7;4;3;3;2;2;2;2;2;
2019-2020;Rohe Rate - 15 und Älter;51;33;27;24;22;21;20;19;19;18;
2019-2020;Altersstandardisiert - 15 und Älter;61;44;36;34;32;30;29;28;27;26;
2021-2023;15 - 44;90;81;77;73;70;68;66;64;62;59;
2021-2023;45 - 54;76;51;45;39;35;33;30;29;27;27;
2021-2023;55 - 64;58;33;22;17;15;14;13;12;11;11;
2021-2023;65 - 74;44;25;16;12;11;10;9;9;8;8;
2021-2023;75 und älter;21;10;7;6;5;4;4;4;3;3;
2021-2023;Rohe Rate - 15 und Älter;52;34;28;24;22;21;20;19;18;17;
2021-2023;Altersstandardisiert - 15 und Älter;61;44;37;33;31;30;28;27;26;25;
