;;1;2;3;4;5;6;7;8;9;10;
2007-2008;15 - 44;91;79;70;67;59;x;x;x;x;x;
2007-2008;45 - 54;81;56;45;39;38;x;x;x;x;x;
2007-2008;55 - 64;59;39;25;23;21;x;x;x;x;x;
2007-2008;65 - 74;41;21;17;16;16;x;x;x;x;x;
2007-2008;75 und älter;16;10;5;5;5;x;x;x;x;x;
2007-2008;Rohe Rate - 15 und Älter;55;38;30;28;26;x;x;x;x;x;
2007-2008;Altersstandardisiert - 15 und Älter;62;45;37;34;31;x;x;x;x;x;
2009-2010;15 - 44;91;84;74;66;62;x;x;x;x;x;
2009-2010;45 - 54;80;59;50;47;43;x;x;x;x;x;
2009-2010;55 - 64;66;34;24;20;17;x;x;x;x;x;
2009-2010;65 - 74;42;23;18;16;15;x;x;x;x;x;
2009-2010;75 und älter;18;9;7;7;6;x;x;x;x;x;
2009-2010;Rohe Rate - 15 und Älter;56;39;32;28;26;x;x;x;x;x;
2009-2010;Altersstandardisiert - 15 und Älter;64;47;39;35;32;x;x;x;x;x;
2011-2012;15 - 44;87;75;69;64;58;56;53;51;46;44;
2011-2012;45 - 54;74;52;43;39;36;35;34;32;31;31;
2011-2012;55 - 64;58;35;27;22;18;17;16;15;14;14;
2011-2012;65 - 74;38;20;15;12;11;11;9;9;9;10;
2011-2012;75 und älter;18;11;8;8;8;8;8;8;8;10;
2011-2012;Rohe Rate - 15 und Älter;52;36;30;27;24;23;22;21;20;19;
2011-2012;Altersstandardisiert - 15 und Älter;59;43;37;33;30;29;27;26;24;24;
2013-2014;15 - 44;91;82;74;69;65;62;60;60;58;56;
2013-2014;45 - 54;76;57;45;40;37;34;32;30;29;27;
2013-2014;55 - 64;60;34;25;21;19;17;17;14;13;13;
2013-2014;65 - 74;40;22;15;13;11;9;9;9;9;8;
2013-2014;75 und älter;23;11;6;6;5;4;5;5;3;3;
2013-2014;Rohe Rate - 15 und Älter;54;37;29;26;24;22;22;21;20;19;
2013-2014;Altersstandardisiert - 15 und Älter;61;45;37;33;31;28;28;27;26;25;
2015-2016;15 - 44;92;87;84;80;76;73;70;68;67;64;
2015-2016;45 - 54;80;58;50;45;43;42;40;38;36;35;
2015-2016;55 - 64;61;34;27;24;22;21;21;19;17;17;
2015-2016;65 - 74;43;23;17;13;11;11;11;10;11;11;
2015-2016;75 und älter;26;12;8;6;5;5;6;4;5;4;
2015-2016;Rohe Rate - 15 und Älter;55;37;32;29;27;26;25;24;23;23;
2015-2016;Altersstandardisiert - 15 und Älter;63;46;41;37;35;34;33;31;30;30;
2017-2018;15 - 44;94;84;76;70;67;64;60;57;54;54;
2017-2018;45 - 54;71;49;42;40;36;35;32;31;28;27;
2017-2018;55 - 64;59;37;24;23;21;18;17;16;14;14;
2017-2018;65 - 74;48;29;21;18;16;15;15;14;12;12;
2017-2018;75 und älter;18;10;8;6;6;6;5;6;4;4;
2017-2018;Rohe Rate - 15 und Älter;53;37;29;27;25;24;22;21;19;19;
2017-2018;Altersstandardisiert - 15 und Älter;62;46;37;35;32;31;29;27;25;25;
2019-2020;15 - 44;90;84;78;77;74;72;71;69;65;63;
2019-2020;45 - 54;74;48;38;34;32;30;29;28;28;26;
2019-2020;55 - 64;63;35;26;22;20;18;18;16;16;16;
2019-2020;65 - 74;42;24;17;14;12;11;10;10;10;9;
2019-2020;75 und älter;20;8;5;4;4;3;4;3;3;4;
2019-2020;Rohe Rate - 15 und Älter;52;34;28;25;24;22;22;21;20;19;
2019-2020;Altersstandardisiert - 15 und Älter;62;44;37;35;33;31;31;29;28;27;
2021-2023;15 - 44;90;81;77;73;70;69;67;64;62;59;
2021-2023;45 - 54;76;51;45;39;35;33;31;29;28;28;
2021-2023;55 - 64;59;33;23;17;16;15;14;13;12;12;
2021-2023;65 - 74;45;25;17;13;11;11;10;10;10;10;
2021-2023;75 und älter;22;11;8;8;6;6;7;6;6;7;
2021-2023;Rohe Rate - 15 und Älter;53;35;29;25;23;22;21;20;20;19;
2021-2023;Altersstandardisiert - 15 und Älter;62;45;38;34;32;31;29;28;27;26;
