;;weiblich;männlich;
2004;0 - 44;1.661;2.388;
2004;45 - 54;877;1.253;
2004;55 - 64;878;1.135;
2004;65 - 74;721;887;
2004;75 und älter;411;271;
2005;0 - 44;1.650;2.387;
2005;45 - 54;920;1.331;
2005;55 - 64;861;1.136;
2005;65 - 74;738;936;
2005;75 und älter;428;307;
2006;0 - 44;1.723;2.495;
2006;45 - 54;934;1.382;
2006;55 - 64;958;1.156;
2006;65 - 74;917;1.080;
2006;75 und älter;432;318;
2007;0 - 44;1.880;2.508;
2007;45 - 54;1.000;1.455;
2007;55 - 64;953;1.137;
2007;65 - 74;1.008;1.097;
2007;75 und älter;428;352;
2008;0 - 44;2.021;2.426;
2008;45 - 54;1.071;1.544;
2008;55 - 64;962;1.193;
2008;65 - 74;1.038;1.184;
2008;75 und älter;467;357;
2009;0 - 44;1.957;2.399;
2009;45 - 54;1.123;1.604;
2009;55 - 64;999;1.248;
2009;65 - 74;1.007;1.168;
2009;75 und älter;539;389;
2010;0 - 44;1.961;2.435;
2010;45 - 54;1.137;1.667;
2010;55 - 64;993;1.284;
2010;65 - 74;1.048;1.176;
2010;75 und älter;552;444;
2011;0 - 44;1.947;2.416;
2011;45 - 54;1.221;1.653;
2011;55 - 64;1.038;1.331;
2011;65 - 74;1.009;1.156;
2011;75 und älter;600;467;
2012;0 - 44;1.881;2.443;
2012;45 - 54;1.255;1.699;
2012;55 - 64;1.064;1.325;
2012;65 - 74;973;1.191;
2012;75 und älter;614;534;
2013;0 - 44;1.859;2.402;
2013;45 - 54;1.292;1.788;
2013;55 - 64;1.169;1.414;
2013;65 - 74;1.007;1.156;
2013;75 und älter;646;554;
2014;0 - 44;1.929;2.379;
2014;45 - 54;1.314;1.822;
2014;55 - 64;1.187;1.484;
2014;65 - 74;1.013;1.135;
2014;75 und älter;684;599;
2015;0 - 44;2.008;2.384;
2015;45 - 54;1.334;1.809;
2015;55 - 64;1.213;1.520;
2015;65 - 74;1.008;1.176;
2015;75 und älter;743;633;
2016;0 - 44;2.043;2.366;
2016;45 - 54;1.337;1.802;
2016;55 - 64;1.269;1.569;
2016;65 - 74;1.014;1.187;
2016;75 und älter;813;719;
2017;0 - 44;2.056;2.328;
2017;45 - 54;1.274;1.744;
2017;55 - 64;1.299;1.666;
2017;65 - 74;1.011;1.216;
2017;75 und älter;812;769;
2018;0 - 44;2.052;2.334;
2018;45 - 54;1.222;1.728;
2018;55 - 64;1.280;1.689;
2018;65 - 74;1.022;1.226;
2018;75 und älter;857;833;
2019;0 - 44;2.016;2.341;
2019;45 - 54;1.192;1.654;
2019;55 - 64;1.310;1.704;
2019;65 - 74;1.007;1.284;
2019;75 und älter;870;887;
2020;0 - 44;1.976;2.300;
2020;45 - 54;1.161;1.596;
2020;55 - 64;1.287;1.803;
2020;65 - 74;1.025;1.298;
2020;75 und älter;901;879;
2021;0 - 44;1.932;2.362;
2021;45 - 54;1.091;1.520;
2021;55 - 64;1.282;1.815;
2021;65 - 74;1.054;1.315;
2021;75 und älter;913;879;
2022;0 - 44;1.889;2.352;
2022;45 - 54;1.067;1.447;
2022;55 - 64;1.290;1.768;
2022;65 - 74;1.080;1.382;
2022;75 und älter;877;818;
2023;0 - 44;1.794;2.272;
2023;45 - 54;1.027;1.348;
2023;55 - 64;1.289;1.674;
2023;65 - 74;1.027;1.332;
2023;75 und älter;827;790;
