;;weiblich;männlich;
2004;0 - 44;7,4;10,2;
2004;45 - 54;15,1;21,2;
2004;55 - 64;17,9;23,7;
2004;65 - 74;15,3;21,6;
2004;75 und älter;9,4;12,5;
2005;0 - 44;7,5;10,4;
2005;45 - 54;15,5;22,0;
2005;55 - 64;17,9;24,1;
2005;65 - 74;15,2;21,9;
2005;75 und älter;9,6;13,5;
2006;0 - 44;7,9;11,0;
2006;45 - 54;15,4;22,4;
2006;55 - 64;20,1;24,8;
2006;65 - 74;18,3;24,4;
2006;75 und älter;9,6;13,4;
2007;0 - 44;8,8;11,2;
2007;45 - 54;16,2;23,0;
2007;55 - 64;19,8;24,2;
2007;65 - 74;19,9;24,5;
2007;75 und älter;9,5;14,3;
2008;0 - 44;9,6;11,1;
2008;45 - 54;17,0;23,8;
2008;55 - 64;19,8;25,2;
2008;65 - 74;20,3;26,0;
2008;75 und älter;10,3;14,1;
2009;0 - 44;9,5;11,2;
2009;45 - 54;17,4;24,2;
2009;55 - 64;20,3;26,0;
2009;65 - 74;19,8;25,8;
2009;75 und älter;11,7;14,6;
2010;0 - 44;9,7;11,5;
2010;45 - 54;17,3;24,6;
2010;55 - 64;19,4;25,7;
2010;65 - 74;21,3;26,8;
2010;75 und älter;11,7;15,7;
2011;0 - 44;9,7;11,6;
2011;45 - 54;18,3;24,0;
2011;55 - 64;19,6;25,8;
2011;65 - 74;21,1;27,1;
2011;75 und älter;12,4;15,7;
2012;0 - 44;9,6;12,1;
2012;45 - 54;18,8;25,0;
2012;55 - 64;19,8;25,5;
2012;65 - 74;21,0;28,9;
2012;75 und älter;12,5;17,6;
2013;0 - 44;9,6;11,9;
2013;45 - 54;19,2;26,1;
2013;55 - 64;21,3;26,7;
2013;65 - 74;22,2;28,5;
2013;75 und älter;12,8;17,3;
2014;0 - 44;10,0;11,8;
2014;45 - 54;19,6;26,6;
2014;55 - 64;21,2;27,4;
2014;65 - 74;22,8;28,5;
2014;75 und älter;13,0;17,6;
2015;0 - 44;10,3;11,5;
2015;45 - 54;20,0;26,6;
2015;55 - 64;21,3;27,4;
2015;65 - 74;23,0;29,9;
2015;75 und älter;13,7;17,7;
2016;0 - 44;10,4;11,4;
2016;45 - 54;20,4;26,9;
2016;55 - 64;21,8;27,6;
2016;65 - 74;23,4;30,5;
2016;75 und älter;14,6;19,3;
2017;0 - 44;10,5;11,2;
2017;45 - 54;19,9;26,8;
2017;55 - 64;21,8;28,6;
2017;65 - 74;23,0;30,9;
2017;75 und älter;14,5;20,3;
2018;0 - 44;10,4;11,2;
2018;45 - 54;19,8;27,5;
2018;55 - 64;21,0;28,2;
2018;65 - 74;23,1;30,9;
2018;75 und älter;15,2;21,6;
2019;0 - 44;10,2;11,2;
2019;45 - 54;20,0;27,4;
2019;55 - 64;21,0;27,7;
2019;65 - 74;22,4;31,9;
2019;75 und älter;15,4;22,8;
2020;0 - 44;10,0;11,0;
2020;45 - 54;20,3;27,6;
2020;55 - 64;20,3;28,7;
2020;65 - 74;21,9;31,0;
2020;75 und älter;16,2;22,9;
2021;0 - 44;9,7;11,2;
2021;45 - 54;19,7;27,3;
2021;55 - 64;19,9;28,4;
2021;65 - 74;21,8;30,5;
2021;75 und älter;16,6;23,2;
2022;0 - 44;9,5;11,2;
2022;45 - 54;19,9;26,8;
2022;55 - 64;19,8;27,5;
2022;65 - 74;21,9;31,2;
2022;75 und älter;16,2;22,1;
2023;0 - 44;9,0;10,7;
2023;45 - 54;19,6;25,7;
2023;55 - 64;19,6;25,8;
2023;65 - 74;20,4;29,4;
2023;75 und älter;15,2;21,3;
