;;weiblich;männlich;
1999;45 - 49;6,8;8,0;
1999;50 - 54;7,6;11,0;
2000;45 - 49;4,8;5,6;
2000;50 - 54;6,5;10,8;
2001;45 - 49;4,2;8,2;
2001;50 - 54;6,2;11,2;
2002;45 - 49;5,6;7,3;
2002;50 - 54;8,9;10,0;
2003;45 - 49;4,1;7,6;
2003;50 - 54;7,5;11,9;
2004;45 - 49;6,2;7,2;
2004;50 - 54;6,6;11,3;
2005;45 - 49;5,0;7,1;
2005;50 - 54;8,4;12,9;
2006;45 - 49;4,8;9,8;
2006;50 - 54;6,7;8,8;
2007;45 - 49;5,7;8,0;
2007;50 - 54;8,0;10,2;
2008;45 - 49;5,1;8,8;
2008;50 - 54;7,5;10,6;
2009;45 - 49;5,4;8,2;
2009;50 - 54;7,7;11,0;
2010;45 - 49;5,0;8,1;
2010;50 - 54;6,3;11,6;
2011;45 - 49;6,0;9,1;
2011;50 - 54;7,7;11,0;
2012;45 - 49;6,2;8,8;
2012;50 - 54;7,9;10,9;
2013;45 - 49;5,7;7,8;
2013;50 - 54;7,8;12,7;
2014;45 - 49;5,0;8,7;
2014;50 - 54;7,3;11,2;
2015;45 - 49;5,4;7,9;
2015;50 - 54;7,7;11,0;
2016;45 - 49;5,8;9,1;
2016;50 - 54;7,6;10,9;
2017;45 - 49;4,1;7,4;
2017;50 - 54;7,4;10,6;
2018;45 - 49;5,4;8,7;
2018;50 - 54;7,3;10,6;
2019;45 - 49;4,9;8,2;
2019;50 - 54;8,0;9,8;
2020;45 - 49;6,7;7,7;
2020;50 - 54;7,5;10,8;
2021;45 - 49;5,8;7,7;
2021;50 - 54;6,7;11,6;
2022;45 - 49;5,1;8,0;
2022;50 - 54;7,0;11,0;
2023;45 - 49;5,1;6,7;
2023;50 - 54;7,3;10,9;
