;;weiblich;männlich;
1999;75 - 79;17,6;28,6;
1999;80 - 84;22,7;26,3;
1999;85+;13,7;11,6;
2000;75 - 79;19,9;22,7;
2000;80 - 84;11,3;27,2;
2000;85+;16,0;25,9;
2001;75 - 79;13,4;20,0;
2001;80 - 84;14,6;29,9;
2001;85+;15,4;15,9;
2002;75 - 79;21,6;25,3;
2002;80 - 84;16,1;27,1;
2002;85+;10,6;5,3;
2003;75 - 79;19,5;29,0;
2003;80 - 84;18,8;25,7;
2003;85+;14,8;17,1;
2004;75 - 79;20,1;22,8;
2004;80 - 84;20,9;24,8;
2004;85+;15,6;23,7;
2005;75 - 79;20,3;29,5;
2005;80 - 84;22,6;30,7;
2005;85+;14,8;17,9;
2006;75 - 79;21,5;33,3;
2006;80 - 84;19,3;28,7;
2006;85+;18,5;15,6;
2007;75 - 79;21,1;31,2;
2007;80 - 84;20,0;30,0;
2007;85+;17,9;31,9;
2008;75 - 79;23,2;32,9;
2008;80 - 84;18,6;30,5;
2008;85+;19,0;18,9;
2009;75 - 79;20,9;30,9;
2009;80 - 84;22,8;29,7;
2009;85+;18,3;21,7;
2010;75 - 79;21,6;29,0;
2010;80 - 84;18,1;30,5;
2010;85+;15,1;19,1;
2011;75 - 79;21,4;27,8;
2011;80 - 84;22,7;27,9;
2011;85+;16,3;23,0;
2012;75 - 79;19,5;29,8;
2012;80 - 84;20,9;31,7;
2012;85+;17,6;24,6;
2013;75 - 79;21,2;29,1;
2013;80 - 84;21,7;29,0;
2013;85+;15,4;24,1;
2014;75 - 79;22,3;27,7;
2014;80 - 84;20,4;28,1;
2014;85+;15,9;28,1;
2015;75 - 79;20,6;28,5;
2015;80 - 84;21,0;24,5;
2015;85+;16,0;22,5;
2016;75 - 79;19,3;28,7;
2016;80 - 84;23,7;27,6;
2016;85+;16,5;22,8;
2017;75 - 79;19,2;29,7;
2017;80 - 84;20,6;26,7;
2017;85+;14,6;21,8;
2018;75 - 79;17,9;29,6;
2018;80 - 84;20,0;26,2;
2018;85+;14,2;23,1;
2019;75 - 79;19,1;28,5;
2019;80 - 84;18,2;30,0;
2019;85+;14,6;21,4;
2020;75 - 79;19,3;27,2;
2020;80 - 84;19,9;27,9;
2020;85+;15,3;21,6;
2021;75 - 79;20,0;28,2;
2021;80 - 84;20,2;29,8;
2021;85+;15,1;23,3;
2022;75 - 79;18,6;26,0;
2022;80 - 84;18,1;27,3;
2022;85+;14,5;20,5;
2023;75 - 79;16,9;28,6;
2023;80 - 84;17,9;27,3;
2023;85+;12,2;19,1;
